X1,X2,y
5.0,3.0,13.63736
6.0,3.0,17.49423
7.0,3.0,18.37013
8.0,3.0,21.3696
9.0,3.0,27.92641
10.0,3.0,30.9826
11.0,3.0,26.64997
12.0,3.0,24.61958
13.0,3.0,18.89238
14.0,3.0,18.6601
15.0,3.0,26.45225
16.0,3.0,29.13353
17.0,3.0,25.69823
18.0,3.0,17.77252
19.0,3.0,20.94574
20.0,3.0,19.98714
21.0,3.0,38.08987
22.0,3.0,37.16903
23.0,3.0,37.24215
24.0,3.0,30.77533
25.0,3.0,32.73382
26.0,3.0,35.19825
27.0,3.0,40.16944
28.0,3.0,39.53102
29.0,3.0,44.55345
30.0,3.0,37.673572
31.0,3.0,32.679746
32.0,3.0,19.63905
33.0,3.0,17.572587
34.0,3.0,23.474241
35.0,3.0,25.456395
36.0,3.0,26.21405
37.0,3.0,31.31347
38.0,3.0,33.71367
39.0,3.0,24.77377
40.0,3.0,22.19079
1.0,4.0,12.61778
2.0,4.0,16.7623
3.0,4.0,15.64772
4.0,4.0,20.690423
5.0,4.0,27.239768
6.0,4.0,41.562469
7.0,4.0,36.689615
8.0,4.0,38.38553
9.0,4.0,45.10349
10.0,4.0,39.07573
11.0,4.0,40.64475
12.0,4.0,35.80323
13.0,4.0,36.69598
14.0,4.0,39.89446
15.0,4.0,43.92406
16.0,4.0,43.02715
17.0,4.0,44.1759
18.0,4.0,46.14852
19.0,4.0,67.58041
20.0,4.0,85.11165
21.0,4.0,75.68364
22.0,4.0,75.08414
23.0,4.0,57.58699
24.0,4.0,64.24445
25.0,4.0,54.975
26.0,4.0,48.78301
27.0,4.0,50.10167
28.0,4.0,43.77069
29.0,4.0,35.951886
30.0,4.0,30.139493
31.0,4.0,21.490162
32.0,4.0,15.02737
33.0,4.0,15.468981
34.0,4.0,19.68215
35.0,4.0,27.79699
36.0,4.0,39.05369
37.0,4.0,46.62026
38.0,4.0,36.43446
39.0,4.0,40.84204
40.0,4.0,36.690813
1.0,5.0,11.70713
2.0,5.0,15.34322
3.0,5.0,19.21349
4.0,5.0,39.77532
5.0,5.0,39.609556
6.0,5.0,43.82809
7.0,5.0,44.7764
8.0,5.0,38.58541
9.0,5.0,37.71389
10.0,5.0,38.80198
11.0,5.0,39.36429
12.0,5.0,44.53934
13.0,5.0,43.38404
14.0,5.0,44.808908
15.0,5.0,44.653524
16.0,5.0,52.774614
17.0,5.0,69.24584
18.0,5.0,88.72205
19.0,5.0,94.31127
20.0,5.0,92.74655
21.0,5.0,83.12067
22.0,5.0,66.77435
23.0,5.0,61.56231
24.0,5.0,63.98991
25.0,5.0,64.47161
26.0,5.0,52.43702
27.0,5.0,35.5835
28.0,5.0,22.15433
29.0,5.0,16.796306
30.0,5.0,7.443408
31.0,5.0,7.098637
32.0,5.0,13.657376
33.0,5.0,23.54105
34.0,5.0,29.147508
35.0,5.0,40.85102
36.0,5.0,51.17516
37.0,5.0,49.28848
38.0,5.0,47.52436
39.0,5.0,35.81201
40.0,5.0,47.86942
1.0,6.0,15.94975
2.0,6.0,23.91961
3.0,6.0,31.07735
4.0,6.0,39.74668
5.0,6.0,39.26638
6.0,6.0,37.58627
7.0,6.0,39.14315
8.0,6.0,32.75046
9.0,6.0,39.07288
10.0,6.0,40.27454
11.0,6.0,47.10913
12.0,6.0,38.53436
13.0,6.0,42.46846
14.0,6.0,30.801455
15.0,6.0,35.794618
16.0,6.0,40.404319
17.0,6.0,66.31419
18.0,6.0,69.42619
19.0,6.0,64.82729
20.0,6.0,63.50081
21.0,6.0,42.75551
22.0,6.0,37.94519
23.0,6.0,46.90372
24.0,6.0,38.77229
25.0,6.0,52.40998
26.0,6.0,42.485515
27.0,6.0,31.342648
28.0,6.0,26.593778
